start_node,end_node,d_dist,bf_dist,d_time_matrix,d_time_list,bf_time_matrix,bf_time_list
2753,2045,400,400,69247,7193,1004556,4671
2848,2105,434,434,93557,9763,1184473,5583
2113,4694,205,205,30166,3657,1112996,5067
2048,4992,234,234,47443,5512,941061,4802
4658,345,165,165,7477,1485,938077,3390
252,5128,218,218,80857,8272,835036,3648
2157,5379,335,335,54833,3804,1019719,4006
4005,150,147,147,23647,3236,1087084,5436
3629,5284,329,329,81074,8362,1005133,4057
4276,150,106,106,24064,3652,927583,4037
4579,4398,632,632,97777,10052,930161,4099
3885,4244,160,160,16426,2774,1189484,4940
2632,6120,427,427,96792,9861,1175682,4066
252,3129,211,211,77044,8125,851147,3805
1645,6143,429,429,84340,8781,1027445,4046
4919,4398,470,470,98487,9993,1180165,4611
1838,1417,260,260,28979,3868,1015156,4371
153,1403,209,209,11984,1819,1114368,5317
3564,2201,252,252,42471,4829,1187927,4585
45,5674,356,356,85492,8852,1025226,4257
6348,4100,2147483647,2147483647,35,22,85783,30
1904,2156,175,175,46203,5477,919817,3682
3129,5909,276,276,49198,4955,1105060,4286
6108,4211,152,152,19797,2865,1007468,4352
2295,4034,330,330,90311,9158,1012508,3696
4361,524,420,420,70663,7421,1195250,4290
2082,5699,292,292,53903,6072,935578,4200
4769,2166,174,174,42562,5428,918775,3928
2921,2473,236,236,61046,6664,918702,3736
5295,4566,417,417,47523,4895,1087736,4341
2266,3865,137,137,3577,1116,920579,3572
2614,1557,104,104,4141,970,1002802,4203
2734,2768,318,318,9404,1675,1251629,5071
2960,3750,257,257,71407,7606,1169462,4184
2421,458,345,345,10151,1838,917853,3817
3074,2420,194,194,56869,5535,920070,4291
4558,2430,448,448,66420,7142,1336228,5333
2028,5139,185,185,29712,3962,1003048,4359
5791,1786,158,158,8359,1591,1001574,3587
3000,1737,240,240,35245,4517,1001665,4062
3272,4814,421,421,54587,6080,1085514,4282
6063,5354,309,309,83475,8628,1335848,4138
4163,4482,141,141,11539,2159,1085191,4156
1171,4536,160,160,13398,2270,1001851,4083
4407,3918,270,270,63531,6835,834762,4021
2753,324,366,366,53239,6028,1001931,4626
5235,2819,152,152,10530,1033,1001876,4130
5683,5422,611,611,104873,10399,1252384,4299
3039,6095,117,117,11377,1917,918468,4555
2822,5461,173,173,48512,5598,918699,3653
