start_node,end_node,d_dist,bf_dist,d_time_matrix,d_time_list,bf_time_matrix,bf_time_list
6321,2440,305,305,74322,6177,3032805,8863
8727,6348,274,274,199335,13925,2963948,7774
8044,10201,465,465,209799,15036,3228006,9701
2004,1484,305,305,271743,17778,3201386,10194
9144,5831,147,147,35012,4679,3445680,10270
9501,2729,313,313,218693,9479,2949772,8490
6583,3493,314,314,149912,10838,3194335,10652
1587,238,366,366,57522,5811,3201597,8899
10218,6702,307,307,177277,12263,4168423,9260
8065,852,431,431,206927,14152,2947912,7880
3054,9895,161,161,46665,5569,2697638,9268
3910,4097,178,178,51124,5418,2943233,9706
3150,9384,199,199,89864,7773,3200604,8610
10619,6938,216,216,151404,11315,2709323,9601
2578,6953,247,247,163522,7353,2955460,8271
3814,8899,621,621,302603,20140,2958915,10570
145,1641,223,223,225653,11278,2713809,8781
6000,9841,220,220,59065,6610,2764392,9554
2594,9656,341,341,284508,20020,3034228,10402
425,839,281,281,76224,7784,2762339,8242
6239,9927,164,164,14987,3442,3200022,9985
3568,1922,214,214,90422,8027,2700339,7702
4172,6807,422,422,238477,14774,2987525,8665
2161,3490,238,238,107627,5945,3022690,9344
4261,978,32,32,131,49,3088258,9830
4342,7315,296,296,215049,14667,2703092,8601
10873,9904,744,744,305064,20037,3214566,8580
2165,3124,368,368,274999,19577,2701588,9082
10041,3536,243,243,180590,12607,3260838,9037
814,1719,239,239,108346,7635,3255612,9582
10489,4629,182,182,66251,6259,2745088,10570
1371,1387,203,203,116346,9818,2997668,8870
7922,7371,272,272,224058,15072,3257554,9319
1980,1269,413,413,100344,8821,3226012,11254
7779,4058,235,235,114547,9453,3010496,9334
3760,3118,407,407,197494,13543,2979689,8536
4737,8980,384,384,259095,24840,2717348,8313
5041,8909,289,289,203000,14235,3209089,8570
4887,7202,474,474,144927,10840,3746383,10534
1499,9148,267,267,185548,13828,3221946,9145
9832,7493,236,236,13226,2116,2734916,11608
7216,9806,323,323,238943,17092,2701117,8430
8149,9381,103,103,4804,1059,3196575,9734
2030,7290,281,281,41973,4923,2948157,10262
2017,4496,187,187,55200,5720,2702410,9905
10662,3259,366,366,268098,18822,2944224,8418
10777,1133,308,308,145343,10850,3438843,8962
6298,9452,464,464,238898,14704,3196919,9262
10156,8278,235,235,169347,10486,2944051,9941
10721,7035,191,191,55978,4272,3204211,9826
