start_node,end_node,d_dist,bf_dist,d_time_matrix,d_time_list,bf_time_matrix,bf_time_list
7934,7128,500,500,1198946,32617,15011660,13572
10723,990,210,210,41338,2242,13976247,13186
17423,9114,473,473,208521,9085,14932030,14403
7037,17501,369,369,241443,10573,13871692,13810
9389,9682,459,459,680833,22278,14920260,14446
13423,21262,431,431,1021432,31169,13871992,13308
10374,718,330,330,798217,25072,13871213,13485
20575,806,534,534,638907,20455,13866108,13376
21395,5320,286,286,619970,21905,13873474,15153
13497,21409,273,273,465423,12786,12804625,12497
18596,8432,410,410,392074,14622,16002881,14022
7273,347,337,337,455505,16693,12800489,12577
2253,9676,431,431,938205,29010,12805369,12641
13794,19281,522,522,1137396,32759,14932071,13602
11078,9093,484,484,1191161,34758,12804927,14368
11458,765,413,413,1053169,31549,12805750,12423
20673,22181,629,629,984905,30511,13870175,13535
6207,15397,223,223,183321,9984,12799160,12668
13047,13244,531,531,635446,21233,12805381,13318
10198,22436,103,103,2787,227,14939907,14211
